field,m,angle,distance,relerr_offset,relerr_abs,mag
phis,0,1.570796,1.778279e-02,3.158850e-16,2.685023e-15,5.623429e+00
phis,0,1.570796,3.162278e-02,1.404321e-16,3.089507e-15,3.162305e+00
phis,0,1.570796,5.623413e-02,3.745842e-16,9.988913e-16,1.778328e+00
phis,0,1.570796,1.000000e-01,0.000000e+00,8.881010e-16,1.000087e+00
phis,0,1.570796,1.778279e-01,1.973742e-16,1.973742e-16,5.624964e-01
phis,0,1.570796,3.162278e-01,1.753887e-16,1.753887e-16,3.165036e-01
phis,0,1.570796,5.623413e-01,1.556517e-16,4.669552e-16,1.783184e-01
phis,0,1.570796,1.000000e+00,0.000000e+00,0.000000e+00,1.008722e-01
phis,0,2.094395,1.000000e-12,2.648383e-16,6.613644e-05,1.152310e+11
phis,0,2.094395,1.778279e-12,1.177391e-16,4.662259e-05,6.479914e+10
phis,0,2.094395,3.162278e-12,0.000000e+00,3.056858e-05,3.643924e+10
phis,0,2.094395,5.623413e-12,0.000000e+00,1.789310e-05,2.049129e+10
phis,0,2.094395,1.000000e-11,0.000000e+00,7.722773e-06,1.152310e+10
phis,0,2.094395,1.778279e-11,1.471739e-16,5.843652e-07,6.479914e+09
phis,0,2.094395,3.162278e-11,0.000000e+00,1.263343e-06,3.643924e+09
phis,0,2.094395,5.623413e-11,2.327024e-16,5.301585e-07,2.049129e+09
phis,0,2.094395,1.000000e-10,4.138098e-16,5.035734e-07,1.152310e+09
phis,0,2.094395,1.778279e-10,0.000000e+00,2.538162e-07,6.479914e+08
phis,0,2.094395,3.162278e-10,6.542908e-16,3.515349e-07,3.643924e+08
phis,0,2.094395,5.623413e-10,2.908780e-16,2.067708e-07,2.049129e+08
phis,0,2.094395,1.000000e-09,1.293156e-16,8.057421e-08,1.152310e+08
phis,0,2.094395,1.778279e-09,0.000000e+00,4.161816e-08,6.479914e+07
phis,0,2.094395,3.162278e-09,2.044659e-16,3.785407e-08,3.643924e+07
phis,0,2.094395,5.623413e-09,3.635975e-16,2.025725e-08,2.049129e+07
phis,0,2.094395,1.000000e-08,3.232889e-16,3.973882e-09,1.152310e+07
phis,0,2.094395,1.778279e-08,2.874490e-16,1.954366e-10,6.479914e+06
phis,0,2.094395,3.162278e-08,0.000000e+00,2.517847e-09,3.643924e+06
phis,0,2.094395,5.623413e-08,2.272484e-16,2.184213e-09,2.049129e+06
